,place,1(Быстрая черепашка),2(Вопрос о фигуре),3(Послание ),4(Построй дом!),5(Звездочный квадрат),Score,Penalty,department,hash
0,1,+,+,+,+,+,5,21,Не из МГУ,b6a720e40da936c330e1f53680b279381d1c5742
1,2,+,+,+,+,+,5,31,Физический факультет,57bd006a9261c889d76cba7537a3b61671cbcc6a
2,3,+,+,+,+,+,5,35,Механико-математический факультет,0b7a6e627adeb9d50c5ecb7b5a17ea452ec87659
3,4,+,+,+,+,+,5,55,Факультет вычислительной математики и кибернетики,c22dc82f7e88a8973a18180d85d5a3b0cf641b75
4,5,+,+,+,+,+,5,64,Механико-математический факультет,1ac42c1757e5790d220299fbe51540beda8b1d8a
5,6,+,+,+,+1,+1,5,71,Не из МГУ,c3cbfcb84529fad49cd0c2abe6e30d822c76d172
6,7,+,+,+,+,+,5,81,Химический факультет,1f2b3a7e8c61cdc6ce33300d9d2db530efac8992
7,8,+,+,+,+,+,5,83,Экономический факультет,c87202ecf91644df8d11189b68c6bff09022c66e
8,9,+,+,+,+,+,5,85,Физический факультет,bf645ad9dc7bbd259b7c6cae6e156c983e543dcf
9,10,+,+1,+,+,+,5,112,Экономический факультет,8dff6615f29afc2a464d8e490d43c52cdbba5af0
10,11-12,+,+,+,+,+,5,114,Высшая школа современных социальных наук,b0f09fe81cfce26e2d05a97fa64333cc63cb5343
11,11-12,+,+2,+,+1,+,5,114,Факультет вычислительной математики и кибернетики,14ea89466b7d8549a0bc7deb43657c2d06388ea7
12,13,+,+,+2,+,+,5,116,Не из МГУ,720880696a6b98723894dffa99b4337ebeb1fd73
13,14,+,+,+,+,+,5,118,Механико-математический факультет,2755dc7a7d02df5dd0b90f40b0f8657318e9cca4
14,15,+1,+,+2,+,+,5,122,Не из МГУ,10b0e4636b47584c2415dcb56b42bec1992d5c0d
15,16,+2,+,+,+1,+,5,126,Факультет космических исследований,3b471fa7b90435e7d1d8c477c9b61f92695cbd91
16,17,+,+,+,+,+,5,129,Геологический факультет,c5bc74b449c8c568e46542328bd2841ef477dab6
17,18,+,+1,+,+3,+,5,134,Механико-математический факультет,4227dca8e779378835d4a6ec61054c6a4c32ebe6
18,19,+1,+,+,+,+2,5,135,Экономический факультет,ad272d805f7a21c1fb03867d6210f6920003323d
19,20,+,+1,+1,+3,+,5,150,Экономический факультет,399fe6be8efaa535678584633762c3d40db104fd
20,21,+,+1,+,+,+,5,155,Факультет вычислительной математики и кибернетики,03ab23b3d584202006837377c1c42d910df72c0f
21,22,+3,+,+,+,+,5,162,Факультет космических исследований,af52a8e8cb064d1595c157d4a452eac94addce9a
22,23,+1,+,+,+1,+2,5,166,Факультет фундаментальной медицины,71e6fb88e703ee5afbd446a02782cd04bb73331d
23,24,+1,+1,+,+,+,5,208,Факультет вычислительной математики и кибернетики,b179466efb90cfb2d3a6be1bc9dda6e311dc3966
24,25,+1,+1,+,+1,+,5,219,Геологический факультет,5dcb26505621729e25f53add3ba340b92fe8a170
25,26,+,+,+,+,+2,5,221,Механико-математический факультет,67339cbb86087b9bc592e582c2bf14370aabfcc3
26,27,+1,+1,+,+,+,5,225,Факультет вычислительной математики и кибернетики,ba419f52c6d3b68d07fcbb8686101277b4bd24ea
27,28,+,+,+,+,+1,5,258,Не из МГУ,73fd9c8a843cd7be34e10c84ec928cc6d428d429
28,29,+1,+1,+1,+,+,5,270,Экономический факультет,1ca0b900f14ccff9329e4a7c0a284b793dd3c44d
29,30,+2,+,+,+,+,5,284,Механико-математический факультет,d277d7a44deedb8c9ae744452d559c3fef1e163f
30,31,+,+,+,+,+,5,331,Факультет вычислительной математики и кибернетики,592999b6f815c6d20a04870c254f31eea5256ff8
31,32,+,+,+1,+1,+,5,357,Экономический факультет,f19c55c49012990fe9bba50f2b457430b40e1968
32,33,+1,+1,+,+1,+,5,381,Химический факультет,178806ead7c69ca4ba082be68e1d0c4a6367b4b8
33,34,+2,+1,+,+,+,5,419,Факультет фундаментальной физико-химической инженерии,0d349f5e7a6e451651359c878b00c97df35613c2
34,35,+1,+,+1,+1,+,5,438,Факультет журналистики,52a08ec107bea4990709c45bc086665271105879
35,36,+2,+,+1,+,+,5,458,Факультет космических исследований,93970efa2ff99b74c332e9fe1fee1db75b783a7d
36,37,+3,+,+,+,+,5,499,Факультет космических исследований,203b232a58bc35c12470a47143b505d3855f78dc
37,38,+,+,+,+2,+,5,504,Химический факультет,02f1e340a9c4be6acb87f705c06f89208d8dff93
38,39,+1,+,+,+,+,5,516,Факультет вычислительной математики и кибернетики,f7bdf0fa59162b23ef34dfff3de6e737a3fbe51d
39,40,+,+,+,+2,+,5,543,Химический факультет,7471b79acfe1be1f1394230114bbfeaff277871e
40,41,+,+,+,+,+,5,550,Химический факультет,57ac07445f3e4a04997a62230b15536e48998c33
41,42,+4,+,+,+,+,5,551,Экономический факультет,89ec4061a3b8e64d9f1abfc3d4f949f318713b38
42,43,+,+,+,+,+,5,568,Физический факультет,54c5d74a63f2a0799671421c7ac29f899cecc3c9
43,44,+1,+,+1,+,+,5,595,Физический факультет,f37ab0985784b089e874af6fb8508694d5f326b8
44,45,+,+,+,+,+,5,618,Химический факультет,35972f0171770b618237f3f8fde03410d7544788
45,46,+,+,+,+,+,5,629,,3c85e6232fbc687ad84b52e9321069ca6f2a458a
46,47,+,+2,+,+,+,5,645,Физический факультет,039ce9db7f5c55ef01904de4f642af614adb8a27
47,48,+,+,+,+1,+,5,663,Факультет биоинженерии и биоинформатики,8d30dc210e550d2e222e792a7dfcb380aa1c4c61
48,49,+,+,+,+1,+,5,728,Географический факультет,9fdaaf3a810f3a9827953045ffed929164e3dc20
49,50,+1,+,+2,+,+3,5,739,Факультет фундаментальной медицины,6e3d507c75110ed12a46fe49df2d2e791fdde8a4
50,51,+,+,+,+,+2,5,762,Физический факультет,49ffaa456beb9459c257a4c18e3e4846616b9af1
51,52,+,+,+,+1,+,5,767,Химический факультет,d0991ee8f854b6e7e9bd9b9a8903ea0c6c55d025
52,53,+,+,+1,+,+,5,800,Химический факультет,0c68706ddb9d26d633e2b49bcf7f83268f45d79e
53,54,+,+,+,+6,+,5,850,Факультет вычислительной математики и кибернетики,09e7d0008727949fcafd733dfa25716e95831734
54,55,+,+,+,+,+2,5,891,Механико-математический факультет,0fb2d2d2cb618377b2851da698b95e86f8ea765d
55,56,+,+,+,+,+1,5,936,Химический факультет,1104a95c6db4cbcf9c8c1d7853c16b554d9d6de2
56,57,+,+,+,+1,+3,5,957,Факультет вычислительной математики и кибернетики,9ff52620e415de700d27b80cc75707b3485dda2d
57,58,+,+,+,+,+,5,1047,Физический факультет,d9ca7070b2a1e3daa1eca45e45185ca89ab2c9a5
58,59,+,+,+,+,+,5,1053,Факультет вычислительной математики и кибернетики,fd4fea4cf351086241f0dd2da8469de3844e2b1e
59,60,+,+,+1,+1,+,5,1150,Факультет фундаментальной медицины,333df7d5031abaa82fccaa8d97ab19cbd21a380b
60,61,+4,+1,+,+1,+7,5,1156,Химический факультет,dbb81dbcd8bc6507af5f00ced9a7e027a9471404
61,62,+,+,+,+,+,5,1200,Высшая школа государственного аудита,95b66f7d2e0e061f5254375e2bffd3cf35d23d8c
62,63,+,+,+,+,+,5,1228,Физический факультет,add9a319ba1f6280c2f74633debeb3e4170199d0
63,64,+,+,+1,+,+,5,1263,Физический факультет,f93cdd292cf0fb297a7993242ab1d0b9190d2576
64,65,+,+1,+,+,+,5,1275,Экономический факультет,9ef2c96170843e13e24ab6507d1fe71a5b878d25
65,66,+,+2,+,+,+,5,1420,Экономический факультет,17a470cb65dfdbedf75a324b25314ef8e97f48a5
66,67,+2,+,+1,+,+1,5,1542,Географический факультет,b65dacae2797c95ad1964300e36033b782ae8697
67,68,+,+1,+,+,+,5,1555,Экономический факультет,7398ece8949c47bb12592f727aef5c8ae58b610d
68,69,+1,+,+,+1,+,5,1569,Философский факультет,d99c8aa87748b988d6f8e5d48c01add4c64d8ed0
69,70,+,+,+,+,+,5,1571,Факультет почвоведения,7dee0ea4fde2846bd6ad9649baeb30075ceec789
70,71,+,+,+,+,+,5,1621,Факультет журналистики,feb804f7c1d474208dff3278543889bdbd4e3448
71,72,+1,+,+,+,+,5,1680,Экономический факультет,e25b7a4b3c7dd3d32db121b7e40749b8879d077e
72,73,+,+,+,+,+,5,1693,Физический факультет,a21264297c33a673b319cd02aefe1100bb77c3f2
73,74,+,+,+,+,+,5,1694,Факультет психологии,ee807715db76482b190d56c8dca8870f29673510
74,75,+,+1,+,+,+,5,2160,Экономический факультет,358947e537622103ec7015496953da1d853b1212
75,76,+,+,+,+,+,5,2177,Факультет вычислительной математики и кибернетики,28f1eb915faa29dd14e5288b3f7ad8a521f1bbad
76,77,+1,+2,+,+,+,5,2344,Факультет вычислительной математики и кибернетики,daab16723ad1f86c48f3e02bee4f667d18319df8
77,78,+,+,+,+,+1,5,2459,Экономический факультет,3ed8b38a79b41007693d261ef57de3862b7d00ee
78,79,+,+,+,+,+,5,2481,Химический факультет,e5f01075c7aa05948aca506204afcb51f74551d6
79,80,+1,+,+,+,+,5,2482,Геологический факультет,fbee215331ddfb110952c94557b3376df80394a5
80,81,+,+,+2,+1,+5,5,2842,Исторический факультет,e23266d5a1391c0b2a0c4b1a2852f374605fcce2
81,82,+,+2,+1,+1,+,5,2924,Экономический факультет,f46a2c3862d6be1a15348f4d5c33921a81c2590b
82,83,+4,+,+,+1,+,5,3032,Факультет космических исследований,4031e1121f2d29b78fd72d28847a0bc3e04bc64d
83,84,+4,+,+,+2,+,5,3056,Факультет космических исследований,abcd3d86cf3b45e351840164340a39866136a620
84,85,+3,+,+,+1,+1,5,3399,,e65c73bc3af10243cad47130eac4c1dfb45a51a2
85,86,+1,+2,+1,+,+1,5,3988,Биологический факультет,3e11902963a92f42c21ea579e1847c9d662c4164
86,87,+,+,+,+3,+,5,4238,Химический факультет,e9cceb5acfecf83e514d43ad0a3e4327c6411279
87,88,+,+,+,+1,+,5,4446,Факультет вычислительной математики и кибернетики,f48e141a1ecb5a71cdcc53fc47ea665c999a6d69
88,89,+,+,+,+,+,5,4504,Факультет фундаментальной медицины,f56fd880873a2c0d26f5f6e3f8ffb0911f7a1b3f
89,90,+,+,+3,+1,+,5,4535,Факультет государственного управления,9090d0b43a41f3244f168cdde59d581bb5642b78
90,91,+,+,+,+1,+,5,4807,Механико-математический факультет,d2a2dbff4d73d758bb062321aa9aa86d1cb9197a
91,92,+,+1,+1,+,+,5,4847,Исторический факультет,36da12305317551ab14c135776798aad37452954
92,93,+,+,+1,+1,+4,5,4888,Философский факультет,e434c26b905f6b3821ff3c57c202770ec69cb727
93,94,+,+,+,+1,+,5,5134,Факультет фундаментальной медицины,a1ec30a60cea88348651f13ff33236fdd63766cc
94,95,+1,+,+,+,+,5,5473,Химический факультет,c17141e85ff15c84e7138cd52c091a4d2424e3b9
95,96,+,+,+,+,+,5,5535,Факультет космических исследований,017b8053561e90afde2238ad908cb5f3de68dfbb
96,97,+,+,+1,+1,+,5,5605,Экономический факультет,27040d6e0f4f34bf2189f5191ac2c18aac27a85b
97,98,+3,+,+1,+1,+,5,5694,Экономический факультет,5b95c34bdb9774a89c31c44e6d471269eb827f2a
98,99,+,+,+1,+,+3,5,5836,Социологический факультет,a3fd98ebcff77230190f79b95442b0775c19aa5e
99,100,+,+,+,+,+,5,5875,Факультет вычислительной математики и кибернетики,3231b2d9f89d6e103f6fe9289f15aa5cd290704d
100,101,+1,+,+,+1,+,5,6008,Факультет вычислительной математики и кибернетики,8897cd2975367023e843ff6ae0b96e3d58a336b9
101,102,+,+,+,+,+,5,6028,Факультет фундаментальной медицины,b3abf9c8a2363be85bf91e2f8c2c6ecada80b6e7
102,103,+,+,+1,+1,+,5,6112,Биологический факультет,08d88b2120418e29fc0fc54cac406fd4490d6a65
103,104,+,+1,+,+,+,5,6203,,b6698d32a5cbc8086e55e8579132ec936f223c8c
104,105,+1,+,+,+,+,5,6204,Физический факультет,e3cc82d8246fc807857d6c3d250169c802e0992b
105,106,+,+,+,+1,+,5,6213,Факультет глобальных процессов,8617502bd3fcfe1a8d3402c7863cbf915234e5cb
106,107,+,+,+,+,+,5,6345,Не из МГУ,2183a84192e4c12d880faf1d3ec2658bb9423255
107,108,+,+,+,+,+,5,6418,Факультет почвоведения,e30e3189cd58eb4818f57fefabdf66ce17cdab42
108,109,+,+,+,+1,+,5,6459,Экономический факультет,ceff8aaaa8b30b8e286d9b014df35a8170e06539
109,110,+,+,+,+,+,5,6642,Физический факультет,2c0a064aef7de852e4b494066c037f8181831edb
110,111,+,+,+1,+1,+1,5,6794,Факультет космических исследований,2db08ed28eecd4bb07bbca79242ca98d68cac22d
111,112,+,+,+,+,+,5,6800,Физический факультет,51dbb4686254dbd6f9e5477ba8200b3387a60879
112,113,+,+,+,+,+,5,7145,Физический факультет,47822b8e79ae9b67294c399f7314aaca549560a2
113,114,+,+,+,+,+,5,7176,Исторический факультет,990fd9a37e7816f5430c960542391e9b114b4f50
114,115,+,+,+,+,+,5,7276,Факультет вычислительной математики и кибернетики,0f888a12498be8fb17ee9bec70e2806d67fd30ee
115,116,+4,+,+,+,+,5,7748,Химический факультет,7f53752538f00e5079b22a1120a0c63f415ba1d0
116,117,+,+,+,+3,+2,5,7758,Географический факультет,b9868fa88d0d1440fc8a307ca1fe6986a28043ec
117,118,+,+,+1,+,+1,5,7982,Биотехнологический факультет,e813cd49a623985597dfb915cffa4f947ce930b1
118,119,+1,+,+,+,+,5,7988,Механико-математический факультет,cd39fe88c8318316cd2d67aca8a941d042600f6e
119,120,+,+,+,+1,+,5,8382,,2e132c789cef6fc4be79f45d93da2f6671a8a206
120,121,+,+,+,+,+,5,8632,Химический факультет,e1371095d1042f7fcbd2026b4d8c33eaebe1282e
121,122,+,+,+,+1,+3,5,8687,Факультет вычислительной математики и кибернетики,598af69d255cfe46cf39d4957926f30d8bf90d08
122,123,+,+,+,+1,+,5,8702,Факультет вычислительной математики и кибернетики,7a22d2c4d01165142f6bb9312187282f7848ca14
123,124,+1,+,+,+2,+,5,10075,Исторический факультет,0451cffbe09e960032d98ba95a593de4bfd6a59a
124,125,+1,+,+,+1,+,5,10479,Институт стран Азии и Африки,5ccf2fe6385d9126df9864a18f068adc65c322cf
125,126,+,+,+,+,+,5,10533,Экономический факультет,74a4a7e6c1e46c2dea634eeca2048db4f1e26cdd
126,127,+,+,+1,+2,+,5,11397,Географический факультет,6d9232f9df88d7654865ba6f1a0a30787ed18682
127,128,+,+1,+,+,+,5,12014,Механико-математический факультет,f6d30641d21dd64fc702dfb3c53b58c3dc504ee0
128,129,+,+,+,+,+,5,12440,Физический факультет,e24ca37361c3bb7674fd88b11295f1a83cc96ad9
129,130,+,+,+,+1,+,5,12498,Факультет вычислительной математики и кибернетики,6d1386930070a9da993d1de29f2f3698f03228dc
130,131,+,+1,+,+,+,5,12509,Факультет вычислительной математики и кибернетики,fedf3037b3c560d3a9316456169354ad913da2d2
131,132,+1,+2,+,+1,+,5,12640,Факультет вычислительной математики и кибернетики,1e313c6b672ceae8c45d2b4cb0a1531b33f67036
132,133,+,+,+,+,+,5,12807,,9c065d5719b224ddaf112a6c22a176f9b2041f0d
133,134,+,+,+,+1,+,5,12997,Физический факультет,dfc1f902608deee261fb523a403bf8093fbe0835
134,135,+,+,+1,+,+,5,13236,Высшая школа государственного аудита,8ca213a191b9dc9a157385cb85ade4e0dbfd1b45
135,136,+,+,+,+,+,5,13411,Факультет биоинженерии и биоинформатики,94c6e8b13b41a9fe54fce2dd09b520e9c59af581
136,137,+1,+1,+1,+1,+,5,13475,Социологический факультет,579f407b60c97f81148a85691056cd946450bd83
137,138,+,+,+,+,+,5,13658,Геологический факультет,d894e6de801811320a63783372e73790572ba548
138,139,+,+,+,+,+1,5,13738,Экономический факультет,c41176966736526445c3d3f46b634ea7d11bff24
139,140,+,+,+,+1,+,5,13910,Факультет вычислительной математики и кибернетики,9346fe3ca3e1d981403c728c7a8bcccb19e9b053
140,141,+,+,+,+,+,5,13967,Факультет вычислительной математики и кибернетики,90e0f969d47025c81ae480baec69473c11cc2e65
141,142,+,+,+,+,+,5,13978,Факультет государственного управления,6e0ba9087f4709d3c972465e135c87fa305aa289
142,143,+,+,+,+1,+,5,14012,Экономический факультет,9b50967e00161bc288b0b590bf6307afc44ede9f
143,144,+,+,+,+,+,5,14014,Факультет психологии,793a42d668095889659f091104e32f8c75f7e23a
144,145,+2,+,+,+,+,5,14027,Факультет космических исследований,804e0254a74feec712b6be56705aff5e03cacac1
145,146,+,+,+1,+,+,5,14031,Физический факультет,74613a9c8b8bfdcf432e1d3557c565ee018e506c
146,147,+4,+,+,+,+,5,14041,Факультет вычислительной математики и кибернетики,d402d76e1d982da73a0e549fa234f1ed8e1f00f7
147,148,+,+,+,+,+,5,14045,Факультет вычислительной математики и кибернетики,8884441164df3c990d88172b2eb119cbd11f86a2
148,149,+,+,+,+1,+,5,14078,Физический факультет,0b8c70b1348d904983b191e5d234b808c826e7a8
149,150,+,+,+1,+,+3,5,14226,Физический факультет,5672ec68b61494117f2dad1f365101939f2be947
150,151,+,+,+,+,+,5,14263,Физический факультет,a6de32b320a160bf98d62667fb05b3c22153b394
151,152,+,+,+,+1,+,5,14296,Не из МГУ,956a3f7a006c7b2ee1b62d57111649cd1e1c1370
152,153,+,+1,+1,+,+1,5,14307,Факультет вычислительной математики и кибернетики,c2bfd4f913773add61fbc769d2fa96b58dcbce96
153,154,+,+,+,+,+,5,14395,Высшая школа государственного аудита,149443e3862658d0e78d14a329daaabafa4bb53e
154,155,+1,+,+1,+1,+3,5,14402,Географический факультет,546f58352ec29e06eb23dce9b8666b75ded7d2e3
155,156,+,+,+1,+1,+2,5,14432,Физический факультет,ad25bfb4150934ffc90930df024a534b2ca16c61
156,157,+,+,+,+,+,5,14567,Механико-математический факультет,75d2d3c9dd74041abc7c35097677b4689d34edda
157,158,+,+,+,+1,+,5,14579,Социологический факультет,5e7d26fb13dc9fc2d1b55d3e36edd27bf5038271
158,159,+,+,+,+1,+,5,14582,Социологический факультет,e25a46eb2c64db61ff5908b2dd21ce379378f424
159,160,+,+2,+,+,+3,5,14586,Высшая школа государственного аудита,9a1c15c2385e1ce85de79a26588b7324625cc6b9
160,161,+,+,+,+,+,5,14747,Экономический факультет,87933ec87cd98c40095f69e099d695a87bc61ebd
161,162,+,+,+,+,+,5,15256,Факультет вычислительной математики и кибернетики,ea5b12c2fdd30e481ef351855d36db1c290cb58a
162,163,+,+,+,+,+,5,15394,Механико-математический факультет,6ad92e8129f2dfdce6f09d0b892c1b041fa10896
163,164,+,+,+,+1,+,5,15434,Биологический факультет,5f00d8cbfa859439b002f68adac65f6a21e634de
164,165,+,+,+,+1,+2,5,15452,Химический факультет,dadc483083440817aa8f796302e86bab7fd82f11
165,166,+,+,+1,+,+,5,15504,Социологический факультет,6e6f78f199c74ada40d9e230a5574403adc777ba
166,167,+1,+,+,+,+,5,15524,Физический факультет,dfe1fbab50ce8df012835c6c0d0472f002791db1
167,168,+,+,+,+,+,5,15579,,51fba264526d7d9da0105c89a42b96cbdd3e6e4d
168,169,+,+,+,+1,+,5,15782,Факультет иностранных языков и регионоведения,b55050602a63d10dbe60dbe6bfb338c184410d42
169,170,+,+,+,+1,+,5,15796,Географический факультет,612a73371aa399e9701129e5c103fafcf09584de
170,171,+1,+1,+1,+3,+4,5,15865,Социологический факультет,a3680c94a9137a68567cab5b4cfb35c7f07e0736
171,172,+1,+,+,+,+,5,15910,Факультет вычислительной математики и кибернетики,13b62ddb959f31fa4d481899e9e1bbe581a754b6
172,173,+,+1,+,+,+4,5,15997,Факультет вычислительной математики и кибернетики,eca86f051d0c5d3ed97a060de1ccf56793301b97
173,174,+,+,+,+,+2,5,16137,Высшая школа современных социальных наук,1728a8e80e0f75b240f4cfc8ed80339d97fbcace
174,175,+1,+,+,+1,+5,5,16171,Не из МГУ,a8b012e70c6d61fe6d63b950be43b74b244003f2
175,176,+1,+,+,+,+,5,16270,Механико-математический факультет,00ca1c411e661efee79ea90624922e59fc2c3333
176,177,+,+,+,+,+,5,16675,Факультет государственного управления,79f397ac8879684b4c16c97f2e1ea10642687f41
177,178,+,+,+2,+,+,5,17121,Факультет вычислительной математики и кибернетики,d952e94858fb8b75d78e3fd2df5146c7f31e5e00
178,179,+,+1,+1,+,+,5,17552,Факультет почвоведения,513262870bf6c23bb077535dff1defc0feea6f8c
179,180,+,+,+,+3,+,5,18411,Социологический факультет,da0cd312a11f9dc8b2e0b554e8e8ae079a918165
180,181,+,+,+1,+,+,5,19049,Факультет вычислительной математики и кибернетики,e5ce7915f43a68cc56f03506dbab7d0818c3ae4a
181,182,+,+2,+,+,+,5,19155,Химический факультет,0084ebd9fcedf233cb286360e7a9f9f05b04faa5
182,183,+,+,+,+,+,5,19409,Экономический факультет,b6aba1255fc5fc576b96c00e552da27af97e7f5e
183,184,+,+,+1,+,+,5,19470,Факультет фундаментальной медицины,079ec820f2a7f420c8e8465cc5fad102a3fe5858
184,185,+,+,+,+,+,5,19528,Факультет вычислительной математики и кибернетики,6dd949c6f1c766782696a48f9fa01d86e0516bbe
185,186,+,+,+,+,+,5,19699,Факультет вычислительной математики и кибернетики,3226136f41c445d2dc384881c9a281f66b6feee7
186,187,+,+,+,+,+1,5,19736,Философский факультет,e55f4554b9f5c02a3f185c8bce5a6481aaa30269
187,188,+1,+,+,+,+,5,19766,Механико-математический факультет,52f8ced0a29282418d67d30f7bf647b99a1280d0
188,189,+,+,+1,+1,+,5,20086,Социологический факультет,49bec645f7ab06d956832a1aa184b77e6eb285e6
189,190,+,+,+,+,+3,5,20149,Химический факультет,51212e128fccadca4b0f1bc9c0be42aa18d74dc1
190,191,+,+,+,+,+,5,20539,Филологический факультет,c793f35cd159dc8069e7f2d3ea0c00bce5e5c7cd
