,place,1(Быстрая черепашка),2(Вопрос о фигуре),3(Послание ),4(Построй дом!),5(Звездочный квадрат),Score,Penalty,department,hash
191,192,+,+,+2,+,+2,5,20647,Экономический факультет,76db2491e4c0fa9f9cced1ab22a5ee2bf89f6fc3
192,193,+,+,+,+1,+1,5,20936,Институт стран Азии и Африки,fb2ce6b2ec322c245717d123f860cd78ce385290
193,194,+,+,+,+1,+,5,21014,Экономический факультет,36d1955d32195b0b2538022c3ef3dd88de0cd3be
194,195,+,+,+1,+4,+,5,21416,Экономический факультет,e66e89cf46a7621dcd9b89d5d71e40a14a2ea947
195,196,+,+,+1,+,+2,5,21628,Геологический факультет,51ce3b84da01b2a012a22d6947986eb3943fcb98
196,197,+,+,+1,+,+3,5,21658,Географический факультет,a3f31a01c58d443c8813b554d9cb2e13ec1c13f1
197,198,+3,+,+,+,+,5,21760,Экономический факультет,bec4a9277626b64506a0c11b2275b336f4b76796
198,199,+,+,+,+1,+,5,21771,Физический факультет,d15f303d31a7f34b2c8eecc02eba3b466053cb6e
199,200,+,+,+,+2,+,5,21874,Физический факультет,21c146faf2f6628ddd74b1085cb247e28cf2145a
200,201,+,+,+,+,+,5,21914,Физический факультет,d5549e651dbf2774101877e9c7ae6fd71bbef064
201,202,+,+,+,+,+,5,21967,Факультет вычислительной математики и кибернетики,5b2c2fc6ae6c3f9a0c4244482b7a142b66f45dd6
202,203,+,+,+,+,+,5,21984,Физический факультет,84c63bcc870dc0f30d4d406fbe078ae87078a3ac
203,204,+,+,+1,+,+,5,22010,Экономический факультет,ed63baac58345f72bf6849569a7f2ff0d558696d
204,205,+,+1,+,+1,+,5,22030,,282ce13355e51eaf645beab1ad6910688d874339
205,206,+,+,+,+1,+1,5,22159,Механико-математический факультет,9207c6924a42fdb61c47096ecc33f93b169c2f0d
206,207,+,+1,+,+,+,5,22339,Геологический факультет,9c93e6a84a80cfd773eaf08b8f5c0b1563068c1e
207,208,+3,+1,+,+1,+,5,22443,Факультет вычислительной математики и кибернетики,8486e1b961603f120fa429075a064c87d59e4e03
208,209,+,+,+,+,+,5,22512,Механико-математический факультет,5e2221cbaafcff6213565801ea57d6c5d94825f1
209,210,+,+,+,+,+1,5,22515,Физический факультет,4eeaed56635d411467c3eadd5e9be80ff96b12e1
210,211,+,+,+,+,+2,5,22652,Экономический факультет,c66863fd3908b1a85a391facbcf5236c547d594b
211,212,+,+,+,+,+,5,22740,Механико-математический факультет,96938c3116e132bcdd451be31fb9328900151039
212,213,+,+,+,+,+1,5,22799,Факультет фундаментальной медицины,744e2a18242e4cc5417af331904442492a4afc8c
213,214,+,+,+,+,+,5,22828,Физический факультет,f1a4a5b035ae67ce8bd49e54eb54590f00d8e998
214,215,+,+,+,+,+1,5,22882,Факультет вычислительной математики и кибернетики,a9de9938b25ad4488ec051f12a47166398a253e0
215,216,+,+,+,+,+,5,22950,,e9c6d37fea2ea1a437d30e69e1e7db20188cccfc
216,217,+,+,+,+1,+,5,22957,Филологический факультет,e3c59616cfd8a619bb57760f0e83ec6e8f787638
217,218,+1,+1,+1,+,+,5,23054,Факультет вычислительной математики и кибернетики,82ce74a0df546aa510ad50c0a83b1ba72850c880
218,219,+,+,+,+1,+,5,23093,Экономический факультет,10c200d1408b81226a3f0ffb8cdae5e95bce08be
219,220,+,+1,+,+,+,5,23127,Факультет почвоведения,2f88b9028b20bc162333af333a0a2161d55c253f
220,221,+,+,+,+,+,5,23398,Экономический факультет,6e5f75afed4c61411788633201519183c821d222
221,222,+,+2,+,+,+,5,23792,Химический факультет,3510c51161634be7c5eee509a0853167eee0094f
222,223,+,+,+1,+1,+,5,24153,Экономический факультет,418a8f6ccc859a77deb5d36837d5f9cea236cd51
223,224,+,+,+,+,+,5,24776,Факультет биоинженерии и биоинформатики,6946515f57264008a72f88b0c39e362c57d91840
224,225,+,+,+,+,+,5,25052,Физический факультет,01731221b7911686559dee30ac1d16cf149585af
225,226,+,+,+,+,+2,5,25190,Физический факультет,9ca5ddd1d3adb246360980f4dcfdbb601f68fe24
226,227,+,+,+,+1,+,5,25339,Биологический факультет,5bd82ada432f6f596712157d403b68e7d0e1f439
227,228,+,+,+1,+,+,5,25988,Экономический факультет,b0cb033b4794e4121b03b6311c24cd14f39b0d9d
228,229,+1,+,+,+2,+1,5,26674,Исторический факультет,4ea6b37f5613f6105df3913cde4461dcb773077b
229,230,+,+1,+,+1,+,5,26860,Механико-математический факультет,52de761f089ae8662ff18b33aa0f235c7d4a9d2c
230,231,+,+,+1,+2,+,5,26907,Экономический факультет,c6c459af12a155af61e7d160b9abbf8cdce3c0fd
231,232,+,+,+,+,+,5,28308,Факультет космических исследований,018dd2ea42b50393808994e35f449f263b5d711d
232,233,+,+1,+1,+,+,5,28663,Социологический факультет,a6f320d1ff518bd067cd7609baa799d49e89c456
233,234,+,+,+,+,+,5,28727,Физический факультет,ea601f16838c42cec0778a7c6c8e169019d466e9
234,235,+,+1,+2,+,+,5,29240,,bb721c4a14f1003f6e8cf78a75881cb460cd3c3d
235,236,+,+,+1,+1,+,5,29600,Факультет вычислительной математики и кибернетики,b7e9b6f3cde51d45eb41dfa8168308a9017955ec
236,237,+,+1,+1,+,+,5,29605,Факультет вычислительной математики и кибернетики,13213de05f2373e74b6a898c9fbae74ab9ed4a7b
237,238,+1,+,+,+,+,5,29615,Физический факультет,a7a5d3440f9e5667bce816c46343d06893761710
238,239,+,+1,+,+1,+,5,29631,Факультет вычислительной математики и кибернетики,56194caac228d668bfcdb33fd508adfbc9da3d94
239,240,+1,+1,+1,+2,+,5,29656,Институт стран Азии и Африки,48782ecc8bdbc1158650c58dc467137713a813d9
240,241,+1,+,+1,+1,+,5,29681,Физический факультет,323e67354de6195f758bbf27a3e0cbaffceacd9a
241,242,+,+,+,+,+,5,29739,Биологический факультет,a119ef6904f9aa049d4717b0cc0cb854c6c18d08
242,243,+,+,+,+,+,5,29789,Биологический факультет,b7e816673b87a2873a8dad49b04b7e06883df63a
243,244,+1,+,+,+1,+1,5,29798,Физический факультет,e4b5178966c20ba73a9ea27a741c3e0636c4ed2e
244,245,+,+,+,+,+,5,29805,Биологический факультет,4a64274775f77186c020b8fe94f3c20a4215edf1
245,246,+,+,+1,+3,+,5,29858,Филологический факультет,372988b3afeaf7e0c0e4fb2631ff3295503a7e38
246,247,+,+,+,+,+,5,29876,Физический факультет,430b922f853e7555a7c8c022e002b74ee46bf55f
247,248,+,+,+,+,+,5,29894,Химический факультет,7a4a9c0abb09771450079e1f9a624cf0f9ba9922
248,249,+1,+,+,+1,+,5,29903,Химический факультет,3ee6c4ac2b4e3fdca04023ee5e2b80c780d4cb62
249,250-251,+,+,+,+,+,5,29943,Факультет космических исследований,82f2c8acb69a2a05f645a2801d2deeb4bbd5820d
250,250-251,+,+,+,+,+,5,29943,Химический факультет,30eb9cb966c3cd469f543e44e88dc76c85ca6a5b
251,252,+,+1,+2,+1,+1,5,30033,Не из МГУ,b430d492099eca058cedc23a1baf339f563cdf56
252,253,+,+,+,+,+,5,30060,Физический факультет,84715dbc14bb0213ab86b4d99fb314dc2d53295d
253,254,+,+,+,+,+,5,30231,Факультет вычислительной математики и кибернетики,60a6375069d48c1e7211aaa94bfe71b63754053e
254,255,+,+,+,+,+,5,30248,Высшая школа современных социальных наук,fcad7f1b41d601edbc57c10ae1dca6cfffadfcf2
255,256,+3,+,+,+,+,5,30350,Химический факультет,2997fb9a4fcf0500ba93e6f4bc457f6623ee2b95
256,257,+,+,+1,+,+,5,30444,Физический факультет,f417ef8f158b32ecb6ca7cc44aaa73b1ae415a25
257,258,+,+,+,+,+,5,30505,Факультет вычислительной математики и кибернетики,4e48211bb60a2abbbb56d9a9a9614ee83a5fd89e
258,259,+,+1,+2,+,+12,5,30754,,cae75cd7d0b2330cd9e019a68cde7589f86871bb
259,260,+1,+,+,+,+1,5,30763,Факультет вычислительной математики и кибернетики,b389b6a5d14012252821fba533c05a32eca57841
260,261,+1,+1,+,+1,+,5,31490,Факультет вычислительной математики и кибернетики,d4d2be0f235f284c27cbaefebf29168b60fb3cb4
261,262,+,+,+1,+,+,5,31751,Экономический факультет,54f8d55c0f5171736f7fd9d40c9445e4042cd0e7
262,263,+,+,+1,+,+,5,33477,Химический факультет,147cbc2ab735a70027a28ed82f135d55cbe0819e
263,264,+,+,+,+,+1,5,33508,Физический факультет,8f1accb5adba663f63182bdcc3ca4e4ead59c40d
264,265,+,+,+,+,+1,5,33975,Исторический факультет,5036ec383a0673e78e63dcf2fa8da854bc7bceaf
265,266,+,+,+,+,+2,5,34001,Факультет глобальных процессов,ec6d3c34b00cf0a19b6bb1e9afc7ddc74cdaf9c9
266,267,+,+,+,+1,+,5,34115,Физический факультет,6fd9b8b8dd9cf00f9772eb52e2e043a7fdbccf22
267,268,+2,+,+,+3,+4,5,34122,Биологический факультет,fbfc07b17fa09c72e481d15d951e4f79f073dd8c
268,269,+2,+,+,+1,+,5,34228,Факультет наук о материалах,9fc099b8a987378e878996aceb1c6e53294da60f
269,270,+1,+,+1,+2,+,5,34329,Факультет глобальных процессов,1118f6842bd8ed3c8d76e98e255feb52b8a16a5b
270,271,+,+,+,+1,+,5,34577,Физический факультет,f7f18e0b4b99449032572a2c98bbabba98745daf
271,272,+,+,+1,+1,+,5,34770,Факультет биоинженерии и биоинформатики,2bf136199d3f40870dc0308dd9a673e23bc41a15
272,273,+,+1,+1,+1,+,5,34775,Факультет фундаментальной медицины,51a8b53462de387a6b668077ddfa529328ce18e5
273,274,+,+,+1,+2,+2,5,34968,Философский факультет,9cee8cfa7683b91379f7696071dd7a85359e3fd6
274,275,+1,+,+1,+1,+,5,35003,Факультет государственного управления,7f1d6157f716d2c23ee5f5b8b4afad59e705a9df
275,276,+,+,+,+,+,5,35073,Факультет вычислительной математики и кибернетики,932f68c6eb3ea5071f5f5a53c88b5c9e13501671
276,277,+4,+,+,+,+2,5,35107,Механико-математический факультет,de95e645fe610072b44c069e4db3dbab44cdfa8c
277,278,+,+,+,+,+,5,35208,Географический факультет,3d8a04367d5156f3bb97a1839dac51b2c51dbbca
278,279,+1,+,+,+3,+,5,35261,,87c7f0815b596bf242bd06ba2e52cacfd5a2d430
279,280,+,+,+1,+,+1,5,35339,Факультет вычислительной математики и кибернетики,7d99b69c56c76917885d607eb6f17168aec9a9ae
280,281,+,+,+,+1,+,5,35362,Факультет вычислительной математики и кибернетики,43bcd6882b25adcacbd1c8f65e888533ccede681
281,282,+,+,+,+,+,5,35391,Геологический факультет,a5b0bab26ff8d54df9b3c6f3392f4fc87b4f134a
282,283,+,+,+3,+1,+1,5,35405,Физический факультет,88a17fde09e0c6960a49d5a53e142805828b9112
283,284,+,+1,+1,+1,+,5,35532,Факультет почвоведения,1eef9ef16d92c13631f70b4cf952c54fdfbbd7f9
284,285,+,+1,+1,+1,+,5,35535,Физический факультет,4aee2c2b61424398c62ba1e8ddefdcaf2ca59f83
285,286,+,+,+1,+,+1,5,35633,Экономический факультет,f3120d33b62dc44409d51a427ce973842b4c52d4
286,287,+,+1,+1,+,+,5,35718,Физический факультет,a30ab56273cbe0d68cbab556a4cdc057be2e5936
287,288-289,+,+,+,+,+,5,35822,Факультет вычислительной математики и кибернетики,93d10a0667899f4df585659885d101ff0d71d514
288,288-289,+,+,+,+1,+,5,35822,Факультет почвоведения,6854fd513f2c8c871e2f547a14cd9121ac64720a
289,290,+,+,+,+1,+,5,35907,Факультет вычислительной математики и кибернетики,269e02c8b81235107e80c93e6a0e57cdc5876dc6
290,291,+1,+1,+,+1,+,5,35959,Геологический факультет,d7336043d292e71bfc4d44dbe99ec149a27da077
291,292,+1,+,+,+1,+,5,36000,Факультет космических исследований,be6ff3c35ccd690867b24273387ce5541292fdd8
292,293,+,+1,+,+,+,5,36214,Физический факультет,62680b8b681955092ff41cd03fe9fab7e38402af
293,294,+,+,+,+1,+,5,36256,Физический факультет,2e35697eaeaf0171cdaa7cd7f9fab4de338206c5
294,295,+,+,+,+1,+,5,36304,Факультет мировой политики,909e7f97a268811d9acadf1d2e2484628e23b4e0
295,296,+,+,+,+,+,5,36380,Химический факультет,b06349b83aab47ac0dfc59c8b7a6221c9fb07e78
296,297,+,+,+,+2,+,5,36411,Экономический факультет,aca5c1a6ef2c84556ce73c9fa47efe0f279f7861
297,298,+,+,+,+1,+,5,36545,Биологический факультет,cf35e15444ee445c54026611d4a59b6a21030ded
298,299,+,+,+,+,+,5,36649,Физический факультет,dc58417add078bfa340a07c123b2f3634b185bf0
299,300,+,+,+,+,+,5,36778,Геологический факультет,735a127a0ebbf23d9e9d45f75271f3446872eb6d
300,301,+,+,+,+1,+3,5,36812,Социологический факультет,642ebf821f645cc53d7a0fbbdabcd3e4021b4b43
301,302,+,+,+,+1,+2,5,36820,Физический факультет,f428171daeea135fb7490e1b7a805b541176835a
302,303,+,+1,+,+,+4,5,36857,Факультет почвоведения,13932f7de1e41876d39c653917090fe9198e74d4
303,304,+,+,+,+,+,5,37295,Факультет почвоведения,1592225808a70057fa42fda392c959fc2411ab1d
304,305,+,+,+,+5,+,5,37779,Механико-математический факультет,6a8dd508eee8e65babcf1824fcb021a6f84e7c68
305,306,+,+,+,+,+,5,38153,Биологический факультет,c74dd911f3c2f563a5ee316a215bbe7c3f1e8f75
306,307,+3,+,+1,+1,+4,5,38243,Факультет почвоведения,8537fa49303bf4c9fcc62251e2816c515e8db3b9
307,308,+,+,+,+1,+,5,38393,Факультет почвоведения,fcb353abeb94e06f36b27b8083b078599bfbd590
308,309,+,+,+1,+1,+2,5,38426,Филологический факультет,2dac836ced7bcdb1a51bc4d88b18b058b09fb3c2
309,310,+,+,+,+,+2,5,39204,Институт стран Азии и Африки,72b32d220831d1accca0ef8d9146e6691d9bb8f4
310,311,+,+,+,+2,+,5,39812,Социологический факультет,b9b9696b622dfbd05eb16463bb4272068aecd042
311,312,+,+,+1,+1,+2,5,40037,Институт стран Азии и Африки,b70fb47b0ad78923abda11f0da43c0e01558c14f
312,313,+1,+,+,+,+,5,40744,Факультет наук о материалах,a2738600108501d0d9b69674307836fa417b2cbf
313,314,+,+,+3,+2,+,5,41244,Не из МГУ,2cd847b5b7ea12e66e61352b353f4c190019df5d
314,315,+,+,+,+,+,5,41277,Физический факультет,8928da2f8d5e907af4341dff83272c7909edc023
315,316,+,+,+1,+,+,5,41279,Химический факультет,2e9f5920f110377556e1d411b7435d13629716a3
316,317,+,+,+,+,+,5,41523,Факультет вычислительной математики и кибернетики,0e2f0d386d0d103479d5d1769122409c9be59c3e
317,318,+,+,+,+,+,5,41925,Факультет вычислительной математики и кибернетики,787a0641285ce8034544d09c704a474d59fe18fc
318,319,+,+,+,+1,+,5,42009,Физический факультет,a278fbc739633582d2a5ec8cc4bbb85cd8f5046f
319,320,+,+,+2,+,+,5,42334,Экономический факультет,2f3c2a7aac44ec196a76231eb860d4fdda3b3e97
320,321,+,+,+,+,+1,5,42518,Факультет вычислительной математики и кибернетики,872493d985522198ff7c44758e4a0a44ecf72601
321,322,+,+,+,+,+,5,42529,Геологический факультет,ebf594afc59f2d4fbcbeff48fa93950cc23b1cc5
322,323,+,+,+,+,+1,5,42540,Физический факультет,e380863ff4fbb5cf3a410b9cbf8d76c52516731d
323,324,+1,+,+,+1,+,5,43535,Физический факультет,9aa0fc97b17f08207961c1dfb3dcb9dac0d49f7e
324,325,+,+1,+1,+1,+1,5,44009,Механико-математический факультет,dde19c3a441d8828cf1737e16399cf4bbb7bda2b
325,326,+,+,+,+,+,5,44213,Экономический факультет,0c2ea4ff147b9a1e180aeae4130189e56d9324d5
326,327,+,+,+1,+2,+,5,44513,Философский факультет,1559f0f00fcace42673f2abf644abec92bae574c
327,328,+,+,+,+,+,5,44585,Факультет государственного управления,25d6a628f5caeba7d831dcdf1fda36901042281f
328,329,+,+,+,+1,+,5,44761,Факультет почвоведения,1a565c219bf24164bca543c607d0fb6495b64d3b
329,330,+1,+,+1,+2,+,5,45022,Биологический факультет,386ff7ce36b1f52f602e7e0e37da938a6d81721d
330,331,+,+,+,+,+,5,45329,Механико-математический факультет,7a921903b491198a7abe4b9b5723ea49c0e20d69
331,332,+,+2,+,+1,+,5,45393,Экономический факультет,83f85584aa387ee8726a1fa88b44e89e946206fe
332,333,+,+1,+,+,+,5,45735,Механико-математический факультет,83e05dde79570862ddcdc1c7425684d202da256b
333,334,+1,+,+1,+1,+,5,46614,Социологический факультет,29f7815fb8e874c9412d00b30c9e8988836d4199
334,335,+,+,+,+,+,5,46992,Факультет вычислительной математики и кибернетики,e5bbb2960dd9ec4778604b1fc94ddcf0e731df45
335,336,+2,+1,+,+,+,5,48062,Факультет биоинженерии и биоинформатики,365e1fa4ae283db712309811ded0672deb051fd2
336,337,+,+,+,+,+,5,48126,Социологический факультет,7ca6b00b4427ae8d4627afe563df75c262f404ea
337,338,+,+,+,+1,+,5,48872,Механико-математический факультет,7e430e6850817645c33849c4983a1f773794e23c
338,339,+,+,+,+4,+,5,48940,Геологический факультет,383af5f8f67754d0ddd29de96cde9647dfdf922b
339,340,+,+,+,+,+,5,49278,Факультет вычислительной математики и кибернетики,a696a830d8c8bd8b96390948e4b6827f636a1fdd
340,341,+,+2,+,+,+,5,49529,Экономический факультет,98ad4d38a3a73371440f4c18344be138874a77e0
341,342,+,+2,+,+1,+,5,49592,Факультет вычислительной математики и кибернетики,5bf946fc1cc16c496d29bd2c92e1bf6cfc8bbfa6
342,343,+,+2,+1,+8,+,5,49985,Факультет психологии,b38ac6895bb161108c2e5856f2fb05a09f5cc19a
343,344,+,+,+1,+,+,5,50067,Экономический факультет,710e6c547b1b634bf6c8700856c4f2a5adde8bde
344,345,+,+,+1,+,+,5,50239,,2892a70d7242babec9a99c102c796ebe042f7cce
345,346,+,+1,+1,+,+1,5,50394,Механико-математический факультет,9100b0d9da36671148eb6aa3a55f80528ae39b9e
346,347,+,+,+,+,+,5,50845,Химический факультет,bc20bec6da0baf8a50b243556d87fe8a489f1158
347,348,+,+,+,+,+,5,50878,Физический факультет,80ffdcddbed043ad4f6ddc1123ce12f496e8fa59
348,349,+1,+,+,+,+6,5,50949,Химический факультет,66250b4be5f9eaed97b3bd65846b2b4c37688e36
349,350,+1,+,+1,+3,+,5,51232,Институт стран Азии и Африки,26dc0d80850439c3863cab675c8f9c2f5ea3e76c
350,351,+3,+,+,+,+,5,51322,Географический факультет,74973dddfb6c2ed0885dd906aff46b3e826d61a0
351,352,+,+,+1,+,+,5,51445,Факультет психологии,b4127efa14b9509fc4eaaddddda8ac99a2ea7d4a
352,353,+2,+,+,+,+,5,51778,,8fa767d829c00de2e7f9f4b521e6a07dd529d7b7
353,354,+,+2,+,+,+,5,51977,Экономический факультет,c3531852faf679b524e9cc81773612d1048e8f0f
354,355,+4,+,+,+,+,5,52326,Экономический факультет,787fd95cb327babd5e3be732e90de1d0663088b6
355,356,+,+,+1,+3,+,5,52981,Физический факультет,33af1498616001e408e10b60d8f000d8c0639b9b
356,357,+,+1,+,+1,+1,5,53306,Экономический факультет,957c87370b869bddaece86f7d771d3e859a616b7
357,358,+,+,+,+,+,5,53436,Социологический факультет,6a58ab9c2ff2af7e910192b4fba33633091936cb
358,359,+1,+1,+2,+9,+6,5,53863,Факультет журналистики,cb72fa6a1685d1fafb99f9d63af543289e107a3e
359,360,+,+,+,+,+2,5,53880,Химический факультет,e40c4f6288ef8547cbf739f2c7ae4767a4cf48cb
360,361,+,+,+,+,+,5,54153,,c9ca5800888044ed045a4c1663aaa3e37067806e
361,362,+,+,+,+,+,5,55527,Исторический факультет,1e0a42e5f5dec254f559f46239a25b6ddc9aa72f
362,363,+,+,+1,+1,+,5,56308,Факультет биоинженерии и биоинформатики,807460726434fed5cb7cb6e946d079f0a818eedf
363,364,+,+2,+,+,+4,5,56386,Экономический факультет,2e3181a996d3303ca571bf2e00065509a25874e9
364,365,+,+,+,+1,+,5,56594,Философский факультет,3e9a8d7e4f26eaee60cb9f18204790a6cf69c91a
365,366,+,+,+,+1,+,5,56615,Высшая школа современных социальных наук,9a6a08868b37fe535e2f1e45c2525b486c7d6100
366,367,+,+,+,+,+,5,56740,Факультет вычислительной математики и кибернетики,3e3684cb50540136851609521bac2b3925746236
367,368,+,+,+,+,+,5,56882,Химический факультет,6bc64d2d74c38b233bcd82ea81ff8c7be2db6080
368,369,+,+,+1,+,+,5,56975,Биологический факультет,bb464caf863f1a8b6f56d057140e2b4391bb9e4f
369,370,+,+1,+,+1,+,5,57147,Физический факультет,a277c9eae394ae553e5ccad9d7e42a48d162c2a3
370,371,+,+,+,+,+1,5,57366,Механико-математический факультет,4d0bdd2b015f9144bbf8fc8cb93aaeb62457b781
371,372,+,+,+,+1,+,5,57499,Экономический факультет,7e65121cb4186937ac48fe97751d5532bcf57fcf
372,373,+,+,+1,+,+3,5,58061,Социологический факультет,71b590e33355c16dad0ff771baad877663b8c7e3
373,374,+,+,+,+,+,5,58426,Механико-математический факультет,4dafb63ed33f6f896d5988ba156ed9fc44c24188
374,375,+2,+1,+,+1,+,5,58533,Химический факультет,93531a37b78830a40c90346ff3a4778332a585ce
375,376,+,+1,+,+,+,5,58611,Физический факультет,ca61686dd60fb07a1cb76d3337b6a27c6ac8af0a
376,377,+1,+,+,+,+1,5,58622,Географический факультет,3e6f3d158be2d5ddeb4f6d78aa809feb1e103377
377,378,+,+,+,+,+,5,58859,Механико-математический факультет,48045590da8706976f533c93b7d5de9f545642de
378,379,+,+,+1,+,+,5,58983,Факультет вычислительной математики и кибернетики,65eab043b24b781f1c572c14a0ee9e75951441b5
379,380,+,+,+,+,+,5,60024,Механико-математический факультет,665556b98257e2052c84977dc46da002a9b1ca0c
380,381,+1,+,+1,+1,+3,5,60659,Исторический факультет,0720d2c3f79911c6cb44685230cdb81bcfbde182
381,382,+,+2,+1,+1,+,5,60924,Экономический факультет,cc28573e1b75f1a1440fa32f71d37c55c8935656
382,383,+,+,+1,+,+,5,61078,Геологический факультет,43349aa0b2fd401217235410cc19cf3a340e95b5
