,place,1(Быстрая черепашка),2(Вопрос о фигуре),3(Послание ),4(Построй дом!),5(Звездочный квадрат),Score,Penalty,department,hash
577,578,+,+,+1,+2,+5,5,113927,Экономический факультет,9f615e7fad99cd03c358bb5aec2210a162de7400
578,579,+,+1,+,+2,+,5,113998,Факультет журналистики,16b16d3511bfc650d0f09356815ac4f0dec0809a
579,580,+,+,+,+,+,5,114016,Факультет вычислительной математики и кибернетики,f554efd9fff91bf5a99f7a35758b9dccd64157d9
580,581,+,+,+1,+1,+,5,114029,Биологический факультет,fe159cd3d8e8824627fa3711f9ecf8a117a02b63
581,582,+,+,+,+4,+,5,114047,Факультет иностранных языков и регионоведения,b04df2963a63c7d44ac5b24cf44eaf7249d0665d
582,583,+,+,+,+,+,5,114076,Высшая школа культурной политики и управления в гуманитарной сфере,edbaff8a6b66a7db713171ad5ad1bdf11da193a2
583,584,+,+,+1,+1,+1,5,114260,,e035973602041deef042cc18e7f9fd0cf4ae165c
584,585,+,+,+,+,+,5,114293,,ab7788dd2a903dfabec01949e3011d873396e591
585,586,+,+,+,+,+,5,114370,,41c07892ad0457d5587d4798d2d82bf659c31f8e
586,587,+,+,+,+,+,5,114412,Факультет космических исследований,f32ade914680abe6dd212e55f0008e099e78353f
587,588,+,+,+,+,+,5,114421,Факультет наук о материалах,7ba70c1a642642d3e9909788f0a35afa082f0bc5
588,589,+1,+,+1,+,+,5,114425,Механико-математический факультет,8ccaee4da37680de707c16b0d354fa4fb685388c
589,590,+,+,+,+,+,5,114453,Факультет фундаментальной физико-химической инженерии,75000ed30fad8eb6cb26fc9f9b92644c210d9b5b
590,591,+,+,+,+,+,5,114485,Факультет вычислительной математики и кибернетики,cb0979655c99992d1a2c1bc42c76c0610687c6c1
591,592,+,+,+,+,+1,5,114535,Биологический факультет,e10c368e239dcd1e61c2d7bfd618c97aca241203
592,593,+,+,+1,+1,+,5,114567,Факультет вычислительной математики и кибернетики,3595be6066e17ea4268eefc59bf688dd8a1336e2
593,594,+,+,+1,+1,+,5,114604,Факультет вычислительной математики и кибернетики,f8d45c56a6edd6caa7c16329a0cd5902ef664639
594,595,+,+,+,+1,+,5,114605,Факультет вычислительной математики и кибернетики,9139eb08264e5fede82c6eea4a86931d069a50d2
595,596,+,+,+,+,+,5,114660,Биологический факультет,8ae02dd139ad7563cdb35a950c35576d3bd3301c
596,597,+,+1,+1,+3,+,5,114690,Факультет почвоведения,2ea1355bcd4a3d8950d007ec85c3af9dd47e256d
597,598,+,+,+,+1,+,5,114752,Химический факультет,a4bfbc0f991a0917182cff2636a71a0ef012b299
598,599,+3,+2,+,+,+,5,114755,,5df088d3496c760a26cf86143340b2c62605b7f4
599,600,+,+,+,+,+,5,114784,Факультет фундаментальной физико-химической инженерии,3c279ae2b5cf36e944a6bf24767ddc472684e80d
600,601,+,+,+1,+1,+,5,114928,Химический факультет,64497caa21fe53543d6b84a2a695cb05c63bea24
601,602,+,+,+,+,+,5,114948,Факультет вычислительной математики и кибернетики,1fcbeb161942ced7b1af1d01756c951f4d7f4374
602,603,+,+,+,+,+,5,115012,Факультет вычислительной математики и кибернетики,aec44f585f606872c0eb9296aea0cefbcfcb522d
603,604,+2,+1,+1,+5,+8,5,115056,Не из МГУ,d2f594de56b3fd94bd9b56b99ecc8631e2064670
604,605,+,+1,+,+,+1,5,115096,Факультет вычислительной математики и кибернетики,b98c7e84efec3f5073ea07df8d07c19479e4aa2a
605,606,+,+,+,+,+,5,115129,Факультет вычислительной математики и кибернетики,93aeb84567f8e66e9ef2fb6dd8a17d2e868f9d63
606,607,+,+,+1,+1,+,5,115216,Механико-математический факультет,6628f9ac6a4ca5a471e3990c4a15169a86c94c84
607,608,+,+,+,+,+,5,115245,Химический факультет,94bf531b20f5f7906ddf4635ec987f3dea9758de
608,609,+,+,+1,+,+,5,115346,,76813855e7efc60854bb8c27849c1d2573f8c49a
609,610,+,+2,+1,+1,+3,5,115370,Факультет вычислительной математики и кибернетики,81e4e84ca8bbd2985dcb1adfd7ba764cd7f7e430
610,611,+,+,+,+4,+,5,115384,Механико-математический факультет,2502d54a3a34006c3a48544c747390c12c74a261
611,612,+1,+1,+,+,+1,5,115413,Химический факультет,5af0e9a4e3010a74c6d5ef62efea80531a9591df
612,613,+,+,+1,+,+,5,115706,Не из МГУ,f32be8b2276d487b92d920b7e5b8ca63a0f304e5
613,614,+2,+,+,+1,+,5,115782,Физический факультет,3941fb17f0a4dbb0fd7247cde9fd3bdd64903167
614,615,+,+,+1,+,+1,5,115797,Не из МГУ,fad3c7d06c7102335f416b2960c32e7b2a7c06c9
615,616,+,+,+,+,+,5,115804,Не из МГУ,7681fc2a691d2d17046e73d5e260a625beef5b4c
616,617,+,+,+,+,+,5,115819,Философский факультет,7cd2471d601e564dfd74c8445afa214759a54029
617,618,+1,+,+,+2,+,5,115843,Факультет политологии,1a338e0a956ee1d93d1138a7fbbbe9156bcce718
618,619,+,+,+,+,+,5,115883,Биологический факультет,f943e23b005156698514515401c913611ce35db8
619,620,+,+,+,+,+,5,115913,Факультет вычислительной математики и кибернетики,badedd5f0a6e03801440fcf4ad3b31096d0fe4f4
620,621,+,+,+,+,+2,5,115953,Биологический факультет,9e776625c058bfdb04d1c8091a645cb416963474
621,622,+,+,+1,+1,+,5,116034,Экономический факультет,cb388f09bb20ab6511752eb3fc16be071820f04a
622,623,+,+,+,+,+,5,116036,Факультет вычислительной математики и кибернетики,3a217a6133d8ef906b69ba1fcf57b86a48c31c8b
623,624,+,+,+2,+1,+,5,116099,Факультет почвоведения,25ebef2deacc373f093f2ba9eaa790dbbc5d3509
624,625,+,+,+1,+1,+2,5,116124,Факультет психологии,a17b63f24fb83d16e929c2a28367d99a72b401de
625,626,+,+,+,+,+,5,116132,Факультет вычислительной математики и кибернетики,92d167bce0e3ad3735a862191ff8d007905f5297
626,627,+2,+,+1,+1,+1,5,116143,Социологический факультет,bbd7458f9c24054137d7a83e9168ed89bc0124bd
627,628,+,+,+,+,+,5,116183,Географический факультет,9d51beff68445f7605d8078ecf9671924b08244a
628,629,+,+,+1,+,+,5,116325,Физический факультет,7b95379684a839a9b7871be000ab36b78841be54
629,630,+,+,+1,+1,+,5,116332,Экономический факультет,c2b5dfc90d7bff0ad8d3934cc88dffe7afab4635
630,631,+3,+,+1,+1,+,5,116350,Факультет вычислительной математики и кибернетики,16957384856e2c93919f501e0534e8ed5bd94824
631,632,+,+,+1,+,+,5,116363,,86285f1f77eccc817f0a0a9f8d2de3af2cb54791
632,633,+,+,+,+,+,5,116374,Механико-математический факультет,c4bf48d0dcc72baf3dbdbf2af674748515c2fa93
633,634,+,+,+,+,+,5,116444,Физический факультет,e024c11f3a2b7eaabb46b87e0918325a34d2ea96
634,635,+,+,+,+,+1,5,116496,Московская школа экономики,cad816b2686dbbc5443c3c476e0eb95b9fbaef5e
635,636,+,+,+,+2,+,5,116500,Биологический факультет,37aec439ed1c4eae8882bb535c5833b63de27374
636,637,+,+,+,+,+,5,116506,Физический факультет,14285c6823b1eeab094b9b1394941b153fc13494
637,638,+1,+2,+1,+3,+,5,116623,Экономический факультет,0e56269c2f757b915cc03e61f15465a45d60cac8
638,639,+,+,+,+,+,5,116624,Факультет наук о материалах,9a008ae0b6f9f6a0598c257ec9d962c032cc148b
639,640,+,+,+,+,+,5,116763,Химический факультет,968d608d6ed9db8faa3369d69d84cfda022e62db
640,641,+,+,+,+1,+,5,116806,Механико-математический факультет,50744e786482eb4aa9d74318a50db0252f80494f
641,642,+,+,+,+1,+,5,116851,Биологический факультет,4f84628e197680070e5a8eecb3de6030ab7486e6
642,643,+,+,+,+,+,5,116891,Географический факультет,dde564b5938868b646dd9b277b94c6e77ea6c0d8
643,644,+1,+,+,+,+,5,116983,Экономический факультет,5adda1d926fca7bde3a4edb66f5ac90cc4d6e5a1
644,645,+,+,+,+,+3,5,117033,Экономический факультет,2f05685b2496bb0f4609bef30b7b0167553a1dd1
645,646,+,+,+1,+1,,4,130,Не из МГУ,293c6d72d6afa2a1c755fadacd2cc217c9a47e17
646,647,+,+,+,+,,4,278,Не из МГУ,bb85a8d65971d89f6d328c9fa2163f526b76ee0c
647,648,-5,+,+1,+,+,4,6995,Факультет биоинженерии и биоинформатики,122130099f29df19c6f31aef7236caef4d04c566
648,649,+,-3,+,+,+,4,11952,Биологический факультет,075b78876c2a2c2f4c5b96747de725923126c2c6
649,650,-5,+,+1,+1,+2,4,12111,Геологический факультет,04b9df5021191a16b15448512aef48884390fd27
650,651,+,+,+1,,+,4,16134,Исторический факультет,ff71ab1f1d59c6215c61337b166370eca8a1bad5
651,652,-5,+1,+,+1,+1,4,17925,Механико-математический факультет,d20db7db9d09b43e806b760bd6aed8ad8e5b13f2
652,653,+1,+1,+,,+,4,18474,Факультет вычислительной математики и кибернетики,e9c33bb4a18f22ced3ccc285f050ae43460424b1
653,654,+,+,+,+2,-4,4,18702,Географический факультет,51e0b28b70a74b9b92565c59daf1e823f7deb5be
654,655,+,+1,+,+1,-4,4,36921,Экономический факультет,f49a8f2692e450359bffe0b25cae644eb62362c1
655,656,+,-3,+,+,+3,4,38535,Факультет психологии,9545455d24648ab860a34086623e5f9f4b12cedb
656,657,+,-3,+,+,+1,4,38671,Факультет вычислительной математики и кибернетики,26ace62a4746ff0011b87a6a968ad79f8a848073
657,658,-5,+,+,+,+1,4,45540,Физический факультет,1222cf990605e5b4c709c2abec353847a487bbcb
658,659,+,+,+,+,,4,58255,Не из МГУ,f6ff1feb662834cda7bf31f56e7ceb8fa31db952
659,660,+,+,+,-1,+,4,64430,Механико-математический факультет,f109be3e90209185e9f9e47f24bb93ad98ba3bab
660,661,+2,-3,+1,+2,+,4,73076,Географический факультет,b33c5ec7fde341fdd04f15ca085745490214dffa
661,662,+,+,+,+,-1,4,83084,Экономический факультет,97f340177fc28a2a70c51558d058d0983ec51936
662,663,+,-3,+,+1,+,4,90759,,71f2fc2fd90b5a60af292a920cc46721cae1dd80
663,664,-5,+,+,+,+1,4,91793,Исторический факультет,8e8e88d64762c3665798f783d4858464ff77d106
664,665,+,+,+1,+,-3,4,92136,Экономический факультет,4db9a472008df33cbd864180470ed1f2f1dd3333
665,666,+,+,+,+1,-2,4,93137,Факультет мировой политики,dcfeae7aa2056018f3619a9d8b23770a6737a356
666,667,+1,-3,+,+2,+1,4,93420,Экономический факультет,e316955eb0895d353022ceb98fbdaab0116aa195
667,668,+,+2,+1,+1,,4,93558,Химический факультет,ec5398376ccbb4c0a7b375ff37c86b7a51d8a7aa
668,669,+,+,+1,+4,-2,4,93608,Факультет глобальных процессов,d637908d50befca843c6fd84f00a153687472ac2
669,670,+,+1,,,+,3,31,Химический факультет,b8306e955172894089c9edc833025097174f3b54
670,671,+,-3,+,+1,,3,942,Факультет журналистики,1e073e2f0861b815089904f9d49959e5f7f3e4fa
671,672,+3,+,+,,,3,8773,Экономический факультет,54021dc1f050971b8b0e8e2028adb6a2b67bd8c3
672,673,+1,+1,+1,-2,,3,27081,Высшая школа бизнеса,8a8cd9fc4f48d8ac00793ac5f9264cda0fb1339c
673,674,+,+1,+1,-5,,3,29730,Факультет глобальных процессов,be5d9fbf89fea426755b98175cf6973f755890b5
674,675,+1,-3,+,+,,3,61716,Механико-математический факультет,f3d5d01e2083203ccfaf45af1b3c8939baf421cf
675,676,+,+,+1,,,3,68006,Механико-математический факультет,e380a4dc391027375b7a17f09a78c3098fcf1336
676,677,+,+,,,,2,3,Факультет вычислительной математики и кибернетики,841692f59d77ee60b2b851163870d6aed032105a
677,678,+,+,,,,2,8110,Химический факультет,f546adaa623a5e74c03e677e31b2f1b9ef5bc4e0
678,679,+,+,,,,2,14145,Высшая школа бизнеса,f858aeddc659d3a6096a7dc81f14d0bc6402634e
679,680,+,+,,,,2,46586,,c07e44934503108a7f5f73fb31efa2fb57a352e2
680,681,+3,+,,,,2,46843,Факультет вычислительной математики и кибернетики,26cc96578c66f538f6cf9399ea1a3abdd21edc01
681,682,+3,-1,,,,1,61,Географический факультет,f078dfc673ce33b5bff9257333c2b2def22edb00
682,683,+,-1,,,,1,12946,Не из МГУ,43fe67577f6db6b2969a8f1769dbf37280e75456
683,684,+1,-3,,,,1,21370,,27b995a36560df51cfd048a24fa3d2bd069533ae
684,685,,,,,+,1,22946,Экономический факультет,3f4dbf64cba365e1e27dcb390256e26510c85006
685,686-778,,,,,,0,0,Географический факультет,6683a09186337288465b225ad408e5ae932804e4
686,686-778,,,,,,0,0,Исторический факультет,5340f02348dee0266e4e6551858a9f70af37f6b0
687,686-778,,,,,,0,0,Биологический факультет,93f875c2fd38c59c24ce66fbdef5c36ab4c60045
688,686-778,,,,,,0,0,Механико-математический факультет,ae9123d78ea5b603f6608c9e9b5f51ea3c8173af
689,686-778,,,,,,0,0,Физический факультет,2fd9e954550650bb1547fa2f0f3f06f34aa73989
690,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,344a869a5e588de659b8ea02dd33e415a154abb1
691,686-778,,,,,,0,0,Высшая школа современных социальных наук,d7e2fa5b2d7d2f9f4924752abc360a621d9e69a0
692,686-778,,,,,,0,0,Механико-математический факультет,4c2c6c087777cdb6e295300f93ffd2b03eda0463
693,686-778,,,,,,0,0,Географический факультет,30f37b2db4245ec3b28291e2993645d470d2c086
694,686-778,,,,,,0,0,Не из МГУ,fa376923a25706c9cf4fe3f5e2641dce277e9449
695,686-778,,,,,,0,0,Физический факультет,38f3527b68465103bd5c272289df2045c68f298d
696,686-778,,,,,,0,0,Социологический факультет,4461407eeb3004ab8888a6648b9e137c69d18f0f
697,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,fa958bd9415cd6a44d875338c4c262366a89eb66
698,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,3f0465f53667da700a986b8d597ebb275e598a26
699,686-778,,,,,,0,0,Социологический факультет,8f33a42a1e3609f7e636fc73a9595f03e7e2a1a8
700,686-778,,,,,,0,0,Физический факультет,6ca5735fc9a53c65da45baedfc850fc313dfb1fb
701,686-778,,,,,,0,0,Механико-математический факультет,d1ebbbd7ddc26ab100029b8a235f5bfdda650611
702,686-778,,,,,,0,0,Факультет психологии,bd25f6518350c297d84fc876a1d247c182c12d50
703,686-778,,,,,,0,0,Не из МГУ,fe053c87cfe986ed313bc658bebf23a2c0b69d38
704,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,d4d927762c9e1a0d01d198db658ad377f22bca37
705,686-778,,,,,,0,0,Факультет журналистики,a5bdf839b04ad14fe342341878a25a212795ad27
706,686-778,,,,,,0,0,Не из МГУ,47f69f7557d5b3f74300c4116576f80020107496
707,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,472dc259074a3150750599d57f5026079638001e
708,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,4c52f11f6dda6e95597980525130e7b266e19462
709,686-778,,,,,,0,0,Институт стран Азии и Африки,747f22911e269d854b657ba1e8fcbeb8c646d775
710,686-778,,,,,,0,0,Факультет мировой политики,e68950dceac29009648e101b5b0eaeabb7482ced
711,686-778,,,,,,0,0,Филологический факультет,c6caef9cf842d0b873dd8d7bec8bc3245385a701
712,686-778,,,,,,0,0,Социологический факультет,1f06f73cde5e7f14279520a5fb677b45301864e9
713,686-778,,,,,,0,0,Физический факультет,9dd00cfba45f1062635bcdcb26478899ed8f71a1
714,686-778,,,,,,0,0,,4aae3c94e34c44d3c7d17554d9f714d002196c91
715,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,b70779bf8830315236f3197f19ea5b14348dc44c
716,686-778,-5,,,,,0,0,Факультет вычислительной математики и кибернетики,8008bd97f9479281e165a3ce5df1a2f0743e21d6
717,686-778,,,,,,0,0,Факультет психологии,c8fe01f42346c1baeeb6bd8e668823403d50e7f0
718,686-778,,,,,,0,0,Факультет почвоведения,5154e92f0ba42d0e73e8c6c6f08180314250aeac
719,686-778,,,,,,0,0,Исторический факультет,4858fecc8a6e9cbf532034508163a27c403359ee
720,686-778,,,,,,0,0,Не из МГУ,b3cf9d1125db6ec0ae93a4014259407bd67f1be8
721,686-778,,,,,,0,0,Не из МГУ,e2d5d2ae2b02f05feccd22df0973bfdb26465a68
722,686-778,,,,,,0,0,Факультет наук о материалах,e51076ce56cf695937417b19189bd0e9e0ec78a2
723,686-778,,,,,,0,0,Химический факультет,26a5aa911285744248920c8d62bf1388585c32e8
724,686-778,,,,,,0,0,Физический факультет,9b568808c2501699af8766064ee2c4b4e20e22a5
725,686-778,,,,,,0,0,Факультет биоинженерии и биоинформатики,9d1ac9347ad9d5bfb6951faf2da05e025e24f568
726,686-778,,,,,,0,0,Не из МГУ,895ac40f2f6b5a12aa0d0a9e1f5b12eb99ec496d
727,686-778,,,,,,0,0,Московская школа экономики,be49f5d745bb380ff59359bb6155563998ba64f9
728,686-778,,,,,,0,0,Экономический факультет,ed698085f58b98b73dc0d5672884db31ecc56e27
729,686-778,,,,,,0,0,Не из МГУ,ddc7fdfa8057bcd4eae0a9f9b6a7eb76d05dbe5a
730,686-778,,,,,,0,0,Факультет биоинженерии и биоинформатики,213ac859db310e6f67c04f3554e5ca1778a8f853
731,686-778,-3,-1,,,,0,0,Факультет вычислительной математики и кибернетики,10a7a1e4cf471e40641a5f5e3f492429667c789c
732,686-778,,,,,,0,0,Механико-математический факультет,0455f85ef572f067821e16337e7605ff12aaac0d
733,686-778,,,,,,0,0,,d9cc58d151c53c83ff950b6bc77f3723643f3eb7
734,686-778,,,,,,0,0,,e584720ce7b075fad3c5b94da87d16838e515a4e
735,686-778,,,,,,0,0,Химический факультет,fa9cc383fe147717b0c290f4d6991e232c45e27b
736,686-778,,,,,,0,0,Химический факультет,b434380edd77dd6cfcc61ae679da1e2069b1c649
737,686-778,,,,,,0,0,Химический факультет,7cac62cb2639605a3edca0ae1c7518482883afe0
738,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,abb35d085c5bba355db6622977e24054b9f0d196
739,686-778,,,,,,0,0,Не из МГУ,f1425c08b3a7808d1783b10b0f955648041146b0
740,686-778,,,,,,0,0,Физический факультет,d893441e9bfed2aa564effdf324baea9c70e7e90
741,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,b80b6f71c864c6a76edf316c72cdd67e5168c7e4
742,686-778,,,,,,0,0,Не из МГУ,5ec66c7cda9462502563cb1b7ac11760f08ac603
743,686-778,,,,,,0,0,Не из МГУ,07dbe34b2e5c330a2d27d78013cef324fd1125c9
744,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,232d27c6f5f15fcfcfef5d81336bd463d9124578
745,686-778,,,,,,0,0,,90f9d4615dffec5ae7f8d290baee14135ecfb452
746,686-778,,,,,,0,0,Физический факультет,bfdadb866067f6cad791fafcd3149ddd2e8eb30b
747,686-778,,,,,,0,0,,39d723e32e0133bc30ff3c1f845e6b50979f35dc
748,686-778,,,,,,0,0,Исторический факультет,560dab0516320268749fa33be63a833955a47ec8
749,686-778,,,,,,0,0,Исторический факультет,7e6a1d0eff40998e0cebdac1e56115d955d69b09
750,686-778,,,,,,0,0,Философский факультет,89279ad84c9d787d5b9f1cdaca84e7b922de128b
751,686-778,,,,,,0,0,Экономический факультет,2edddf3fe4fb19a57a5dc9ed7915b00e94a3c52b
752,686-778,,,,,,0,0,Биотехнологический факультет,0b884d1d6063678540d622aaa5a0c235670f3276
753,686-778,,,,,,0,0,Не из МГУ,2c9e99fdbaaf433da1220c7320e75c7307dbfe2f
754,686-778,,,,,,0,0,Социологический факультет,45895ec9cd70533f96c8e7bbb6f7fcc25439902c
755,686-778,,,,,,0,0,Экономический факультет,3b3249f616248394a2bbdf19590d7779fc3e3fc2
756,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,80cdbf6d680d71e2ae28f0b354bdfcc70c04c800
757,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,eadaa55bfcafd4ba53d1866870d998af64ed3786
758,686-778,,,,,,0,0,Механико-математический факультет,a08fb74edf18933438f92e926ef5fafec48b47a3
759,686-778,,,,,,0,0,Механико-математический факультет,ee5768d00f63666dc80c69c808371b02c944ca4f
760,686-778,,,,,,0,0,Не из МГУ,40ac63b210677de6d6d3f06202d33c1460d7ab62
761,686-778,,,,,,0,0,Не из МГУ,5e1dd516474b3945fbac2470e81e2efc35de98d4
762,686-778,,,,,,0,0,Экономический факультет,976fcbedccdcf720d6dbeada94956a0d673fd9b6
763,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,a734b65fff54102c68ab528608fef0341ee6c544
764,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,ea153044b523c41022dc6ff8d65b8f980cccc957
765,686-778,,,,,,0,0,Биотехнологический факультет,4e3cc75ea8837ca94f81eaa6d4883943f30625ce
766,686-778,,,,,,0,0,,08fb3420407b5f048074f723b2ce60cb35a4b216
767,686-778,,,,,,0,0,Физический факультет,34f8d90760017188dfbfe5b8b72c883d0c3ca78f
768,686-778,,,,,,0,0,,2d048f0f42bd560917370eb74772484262e1e877
769,686-778,,,,,,0,0,Механико-математический факультет,a12f9b25671f182fec839039844e04892cb90734
770,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,24b037b1cd62a1db348f6fdb7146a9641da1a2ca
771,686-778,,,,,,0,0,Биологический факультет,a8837570f7b6ddbccbbeaee119f7ed991e809c51
772,686-778,,,,,,0,0,Механико-математический факультет,7411d46ec8ad03f6309dadb77eff05788cd19e6f
773,686-778,,,,,,0,0,Экономический факультет,bdd55f36aad78672024f4e59090ce4d202745faa
774,686-778,,,,,,0,0,Физический факультет,0aae322cf9d88436816f30d6f4714f23967ad442
775,686-778,,,,,,0,0,Факультет вычислительной математики и кибернетики,37a4fc4c4aeecdce528d4af480504b3c45f06183
776,686-778,,,,,,0,0,Экономический факультет,e401a55b1c215efa29bfd019d006ba2aa56eae62
777,686-778,,,,,,0,0,Механико-математический факультет,cc51b85ae5bf898223fe9813c8402f3d272feb6d
